,Cashew,Egg,Hazelnut,Milk,Nuts,Peanut,Sesame,Walnut
Cashew,0.0,0.1,0.0,0.9,0.0,1.1,0.6,0.3
Egg,0.0,0.5,0.0,1.2,0.4,2.3,1.3,0.3
Hazelnut,0.0,0.0,0.1,0.7,2.3,0.2,0.2,1.0
Milk,0.0,0.4,0.1,32.8,1.2,7.7,3.5,2.9
Nuts,0.0,0.0,0.4,4.7,4.1,1.2,0.1,1.6
Peanut,0.2,1.2,0.1,12.6,0.7,22.9,3.7,2.6
Sesame,0.2,0.5,0.0,8.2,0.2,12.3,5.3,0.9
Walnut,0.0,0.0,0.2,8.0,1.5,7.1,1.4,3.0
