,Cashew,Egg,Hazelnut,Milk,Nuts,Peanut,Sesame,Walnut
Cashew,0.4,0.3,0.4,1.1,0.1,0.4,0.2,0.1
Egg,1.4,1.3,0.4,0.3,1.0,0.5,1.6,0.4
Hazelnut,0.0,0.2,0.4,0.7,1.8,0.4,0.1,0.6
Milk,5.1,3.7,3.6,23.7,5.9,3.9,3.1,2.5
Nuts,0.1,0.5,1.6,0.9,6.2,0.3,0.4,1.1
Peanut,4.6,5.3,3.5,8.1,1.9,11.2,6.6,1.7
Sesame,3.1,5.2,1.3,6.5,0.7,4.1,4.3,0.9
Walnut,1.3,2.0,1.8,3.9,4.8,4.2,2.0,1.3
