,Cashew,Egg,Hazelnut,Milk,Nuts,Peanut,Sesame,Walnut
Cashew,0.0,0.0,0.0,1.1,0.0,1.2,0.6,0.0
Egg,0.0,0.4,0.0,1.4,0.6,2.4,1.4,0.3
Hazelnut,0.0,0.0,0.1,1.0,1.8,0.4,0.0,0.6
Milk,0.0,0.3,0.5,32.6,1.9,8.2,3.3,1.9
Nuts,0.0,0.0,0.3,3.5,3.4,0.8,0.0,1.2
Peanut,0.0,0.5,0.2,11.6,0.6,25.1,5.7,3.2
Sesame,0.1,0.5,0.2,9.2,0.2,11.0,4.6,1.3
Walnut,0.0,0.0,0.2,8.4,2.7,8.0,0.8,1.7
acc,0.4065868263473055,,,,,,,
