,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.846846847,0.571428571,"[[0.48665875 0.51334125]
 [0.86172605 0.13827395]
 [0.7078054  0.29219463]
 [0.57996684 0.42003316]
 [0.5543004  0.44569957]
 [0.61695445 0.38304558]
 [0.6296942  0.37030578]
 [0.8270585  0.17294149]
 [0.8508475  0.14915249]
 [0.823461   0.176539  ]
 [0.8909863  0.10901365]
 [0.8756015  0.12439853]
 [0.28435618 0.7156438 ]
 [0.46375328 0.5362467 ]
 [0.5320221  0.46797785]
 [0.79446316 0.20553684]
 [0.7986827  0.2013173 ]
 [0.2630111  0.7369889 ]
 [0.7021477  0.2978523 ]
 [0.5734091  0.42659095]
 [0.6313008  0.36869916]
 [0.22904849 0.7709515 ]
 [0.7430287  0.2569713 ]
 [0.1888113  0.8111887 ]
 [0.6438209  0.3561791 ]
 [0.43861258 0.5613874 ]
 [0.68605524 0.31394476]
 [0.49123752 0.5087625 ]
 [0.5949048  0.40509522]
 [0.21223307 0.78776693]
 [0.65538824 0.34461176]
 [0.82372355 0.17627648]
 [0.70910275 0.29089728]
 [0.8408844  0.15911563]
 [0.8807977  0.11920234]
 [0.49778664 0.50221336]
 [0.65737236 0.34262767]
 [0.7464012  0.2535988 ]
 [0.45253628 0.5474637 ]
 [0.77103585 0.22896416]
 [0.3527717  0.6472283 ]
 [0.6628958  0.33710417]
 [0.7147794  0.28522062]
 [0.69455135 0.30544868]
 [0.4799888  0.5200112 ]
 [0.70375067 0.29624933]
 [0.80337054 0.19662945]
 [0.6904733  0.30952665]
 [0.42024285 0.57975715]
 [0.7552613  0.24473867]
 [0.7543726  0.2456274 ]
 [0.77877754 0.22122245]
 [0.5363057  0.46369427]
 [0.83571374 0.16428624]
 [0.80506295 0.19493704]
 [0.6925154  0.3074846 ]]","              precision    recall  f1-score   support

           0       0.57      0.80      0.67        30
           1       0.57      0.31      0.40        26

   micro avg       0.57      0.57      0.57        56
   macro avg       0.57      0.55      0.53        56
weighted avg       0.57      0.57      0.54        56
","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0
 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]"
1,0.824324324,0.625,"[[0.7426469  0.25735313]
 [0.6447538  0.3552462 ]
 [0.3716004  0.6283996 ]
 [0.4707343  0.5292657 ]
 [0.6318948  0.36810514]
 [0.56666905 0.43333095]
 [0.87771    0.12228999]
 [0.7160259  0.2839741 ]
 [0.49100202 0.508998  ]
 [0.38720357 0.6127964 ]
 [0.39447343 0.60552657]
 [0.9071335  0.0928665 ]
 [0.58308727 0.41691273]
 [0.7847673  0.21523269]
 [0.4024468  0.5975532 ]
 [0.8195813  0.1804187 ]
 [0.51787037 0.48212963]
 [0.35760725 0.64239275]
 [0.61618364 0.38381636]
 [0.40398628 0.5960137 ]
 [0.20631301 0.793687  ]
 [0.742531   0.257469  ]
 [0.42275864 0.57724136]
 [0.67826915 0.32173088]
 [0.6228808  0.3771192 ]
 [0.65551573 0.34448427]
 [0.50048804 0.49951196]
 [0.38562858 0.6143714 ]
 [0.5051998  0.4948002 ]
 [0.28321385 0.71678615]
 [0.7175965  0.28240353]
 [0.4128847  0.5871153 ]
 [0.46561867 0.53438133]
 [0.559548   0.44045195]
 [0.46312112 0.5368789 ]
 [0.77421856 0.22578144]
 [0.48146093 0.5185391 ]
 [0.7822621  0.2177379 ]
 [0.629979   0.37002102]
 [0.6560172  0.34398285]
 [0.5290561  0.4709439 ]
 [0.80790305 0.19209696]
 [0.7657239  0.2342761 ]
 [0.30623496 0.69376504]
 [0.8425739  0.15742612]
 [0.6565716  0.3434284 ]
 [0.85145164 0.14854836]
 [0.6476266  0.35237342]
 [0.839547   0.16045304]
 [0.8689818  0.13101824]
 [0.38966238 0.6103376 ]
 [0.5881279  0.4118721 ]
 [0.44779927 0.55220073]
 [0.48992562 0.5100744 ]
 [0.5738931  0.42610693]
 [0.8285469  0.17145313]]","              precision    recall  f1-score   support

           0       0.72      0.70      0.71        37
           1       0.45      0.47      0.46        19

   micro avg       0.62      0.62      0.62        56
   macro avg       0.59      0.59      0.59        56
weighted avg       0.63      0.62      0.63        56
","[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 1 0 1
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0]"
2,0.837837838,0.589285714,"[[0.60953486 0.39046517]
 [0.8624343  0.13756567]
 [0.69457936 0.3054206 ]
 [0.3923803  0.6076197 ]
 [0.57113945 0.42886052]
 [0.5741311  0.42586893]
 [0.6581073  0.3418927 ]
 [0.6160432  0.3839568 ]
 [0.883176   0.11682395]
 [0.76912564 0.23087434]
 [0.52285457 0.47714543]
 [0.7162931  0.2837069 ]
 [0.57018566 0.42981437]
 [0.2037844  0.7962156 ]
 [0.48402214 0.51597786]
 [0.6581073  0.3418927 ]
 [0.818838   0.18116201]
 [0.46237195 0.53762805]
 [0.5769466  0.42305338]
 [0.5207178  0.4792822 ]
 [0.7147089  0.2852911 ]
 [0.76280165 0.23719832]
 [0.20102483 0.79897517]
 [0.22215474 0.77784526]
 [0.5688745  0.43112555]
 [0.36849594 0.63150406]
 [0.5057349  0.4942651 ]
 [0.72529984 0.27470013]
 [0.49693948 0.5030605 ]
 [0.79945064 0.20054933]
 [0.34142977 0.65857023]
 [0.4118213  0.5881787 ]
 [0.37625277 0.6237472 ]
 [0.70716023 0.2928398 ]
 [0.74675596 0.253244  ]
 [0.80174756 0.19825242]
 [0.46822554 0.53177446]
 [0.58301115 0.41698888]
 [0.36726493 0.6327351 ]
 [0.26199383 0.7380062 ]
 [0.20501745 0.79498255]
 [0.4383536  0.5616464 ]
 [0.68430924 0.31569076]
 [0.5916074  0.4083926 ]
 [0.76047426 0.23952574]
 [0.42134535 0.57865465]
 [0.7177677  0.2822323 ]
 [0.59397155 0.40602845]
 [0.7324116  0.2675884 ]
 [0.73800707 0.26199296]
 [0.8185625  0.18143746]
 [0.73884875 0.26115125]
 [0.4890837  0.5109163 ]
 [0.45942497 0.540575  ]
 [0.7386074  0.26139262]
 [0.6943525  0.30564752]]","              precision    recall  f1-score   support

           0       0.62      0.72      0.67        32
           1       0.53      0.42      0.47        24

   micro avg       0.59      0.59      0.59        56
   macro avg       0.57      0.57      0.57        56
weighted avg       0.58      0.59      0.58        56
","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1
 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0]"
3,0.842342342,0.553571429,"[[0.71140724 0.28859276]
 [0.3099516  0.6900484 ]
 [0.7104831  0.2895169 ]
 [0.58791924 0.41208076]
 [0.57071024 0.42928976]
 [0.31312948 0.6868705 ]
 [0.3900947  0.6099053 ]
 [0.31430036 0.68569964]
 [0.85709375 0.14290623]
 [0.31117368 0.6888263 ]
 [0.65035355 0.34964642]
 [0.7069814  0.2930186 ]
 [0.48537725 0.51462275]
 [0.62618995 0.37381002]
 [0.71778643 0.2822136 ]
 [0.6455468  0.35445318]
 [0.87121284 0.12878719]
 [0.34624642 0.6537536 ]
 [0.5627522  0.4372478 ]
 [0.6390388  0.3609612 ]
 [0.8085023  0.1914977 ]
 [0.80327773 0.19672227]
 [0.49775577 0.50224423]
 [0.61477405 0.38522595]
 [0.610414   0.389586  ]
 [0.33765054 0.66234946]
 [0.40323132 0.5967687 ]
 [0.47093856 0.52906144]
 [0.7119011  0.28809887]
 [0.8399831  0.16001686]
 [0.43269682 0.5673032 ]
 [0.3135572  0.6864428 ]
 [0.7699412  0.23005879]
 [0.6346605  0.3653395 ]
 [0.5902121  0.4097879 ]
 [0.29441202 0.705588  ]
 [0.5862588  0.41374117]
 [0.6333755  0.3666245 ]
 [0.49978966 0.50021034]
 [0.7437292  0.25627083]
 [0.59023786 0.40976214]
 [0.7441236  0.25587642]
 [0.7794352  0.22056478]
 [0.85422814 0.14577183]
 [0.3613568  0.6386432 ]
 [0.5185175  0.48148248]
 [0.6154788  0.3845212 ]
 [0.6110958  0.38890424]
 [0.81911355 0.18088643]
 [0.39250255 0.60749745]
 [0.46549976 0.53450024]
 [0.57105577 0.4289442 ]
 [0.54552513 0.45447487]
 [0.39241308 0.6075869 ]
 [0.23730183 0.7626982 ]
 [0.24930644 0.75069356]]","              precision    recall  f1-score   support

           0       0.60      0.66      0.63        32
           1       0.48      0.42      0.44        24

   micro avg       0.55      0.55      0.55        56
   macro avg       0.54      0.54      0.54        56
weighted avg       0.55      0.55      0.55        56
","[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]","[0 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0
 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1]"
4,0.806306306,0.660714286,"[[0.5483719  0.45162806]
 [0.633075   0.36692497]
 [0.68766767 0.31233233]
 [0.84115    0.15885001]
 [0.681407   0.31859303]
 [0.22011214 0.77988786]
 [0.23499185 0.76500815]
 [0.6508461  0.34915385]
 [0.5221467  0.47785333]
 [0.73388267 0.2661173 ]
 [0.7578795  0.24212049]
 [0.62363034 0.37636966]
 [0.79261696 0.20738305]
 [0.54964876 0.45035124]
 [0.71138704 0.28861293]
 [0.6892909  0.31070912]
 [0.7631131  0.23688693]
 [0.76919127 0.23080873]
 [0.51932836 0.48067167]
 [0.58539844 0.41460153]
 [0.59739363 0.40260634]
 [0.843726   0.156274  ]
 [0.5874413  0.41255865]
 [0.65569824 0.34430176]
 [0.5882617  0.4117383 ]
 [0.62962735 0.37037262]
 [0.7070132  0.2929868 ]
 [0.6680738  0.3319262 ]
 [0.72508574 0.27491423]
 [0.88335735 0.11664264]
 [0.64927053 0.35072947]
 [0.4897169  0.5102831 ]
 [0.7478558  0.25214425]
 [0.6678374  0.33216265]
 [0.51186836 0.4881316 ]
 [0.41312838 0.5868716 ]
 [0.5797787  0.42022133]
 [0.5340005  0.46599945]
 [0.37480283 0.6251972 ]
 [0.4249481  0.5750519 ]
 [0.8055125  0.19448753]
 [0.53335327 0.46664673]
 [0.8167466  0.1832534 ]
 [0.5564673  0.44353268]
 [0.5343963  0.4656037 ]
 [0.7927819  0.2072181 ]
 [0.4523486  0.5476514 ]
 [0.45184517 0.54815483]
 [0.78709805 0.21290196]
 [0.20259827 0.7974017 ]
 [0.7728326  0.22716743]
 [0.7832368  0.21676321]
 [0.6135462  0.3864538 ]
 [0.746244   0.253756  ]
 [0.41305977 0.5869402 ]
 [0.38743234 0.61256766]]","              precision    recall  f1-score   support

           0       0.67      0.88      0.76        34
           1       0.64      0.32      0.42        22

   micro avg       0.66      0.66      0.66        56
   macro avg       0.65      0.60      0.59        56
weighted avg       0.65      0.66      0.63        56
","[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1]"
5,0.851351351,0.625,"[[0.7569215  0.2430785 ]
 [0.3922214  0.6077786 ]
 [0.372797   0.627203  ]
 [0.26196587 0.7380341 ]
 [0.4494292  0.5505708 ]
 [0.40483987 0.5951601 ]
 [0.5888865  0.4111135 ]
 [0.1912359  0.8087641 ]
 [0.6307605  0.3692395 ]
 [0.7408198  0.2591802 ]
 [0.5006089  0.49939105]
 [0.78869295 0.21130706]
 [0.78321445 0.21678554]
 [0.7257999  0.2742001 ]
 [0.62105644 0.37894353]
 [0.5532938  0.44670618]
 [0.5770023  0.4229977 ]
 [0.57227564 0.4277244 ]
 [0.64987576 0.35012427]
 [0.44293785 0.55706215]
 [0.7156253  0.28437468]
 [0.45628065 0.54371935]
 [0.5019473  0.4980527 ]
 [0.8644294  0.1355706 ]
 [0.85965663 0.14034337]
 [0.8522137  0.1477863 ]
 [0.6707349  0.3292651 ]
 [0.63114333 0.36885667]
 [0.78851765 0.21148235]
 [0.47668612 0.5233139 ]
 [0.3761679  0.6238321 ]
 [0.62535274 0.37464723]
 [0.17182088 0.8281791 ]
 [0.7471936  0.2528064 ]
 [0.7200997  0.2799003 ]
 [0.4931954  0.5068046 ]
 [0.43123066 0.56876934]
 [0.6815411  0.31845888]
 [0.805014   0.19498596]
 [0.7477064  0.25229356]
 [0.47069222 0.5293078 ]
 [0.6788074  0.3211926 ]
 [0.61810255 0.38189745]
 [0.82493526 0.17506473]
 [0.55887693 0.44112307]
 [0.16566288 0.8343371 ]
 [0.8313409  0.16865909]
 [0.5481903  0.4518097 ]
 [0.7864657  0.21353431]
 [0.6042192  0.39578077]
 [0.75014997 0.24985   ]
 [0.70596194 0.29403803]
 [0.40798545 0.59201455]
 [0.8164333  0.18356669]
 [0.70240253 0.29759747]
 [0.2548046  0.7451954 ]]","              precision    recall  f1-score   support

           0       0.69      0.75      0.72        36
           1       0.47      0.40      0.43        20

   micro avg       0.62      0.62      0.62        56
   macro avg       0.58      0.57      0.58        56
weighted avg       0.61      0.62      0.62        56
","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1
 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1]"
6,0.833333333,0.589285714,"[[0.38435072 0.6156493 ]
 [0.45214015 0.54785985]
 [0.6937822  0.3062178 ]
 [0.52830315 0.47169685]
 [0.44000453 0.5599955 ]
 [0.4273513  0.5726487 ]
 [0.768682   0.23131798]
 [0.6305252  0.36947483]
 [0.34868455 0.65131545]
 [0.7960598  0.20394023]
 [0.7507608  0.2492392 ]
 [0.39441556 0.60558444]
 [0.7394878  0.26051217]
 [0.26145035 0.73854965]
 [0.4890226  0.5109774 ]
 [0.5885887  0.41141126]
 [0.5527766  0.44722342]
 [0.4197855  0.5802145 ]
 [0.6847421  0.31525794]
 [0.66073126 0.33926874]
 [0.41961938 0.5803806 ]
 [0.48811275 0.51188725]
 [0.836509   0.16349098]
 [0.77599955 0.22400047]
 [0.83614075 0.16385925]
 [0.7052059  0.29479408]
 [0.7872367  0.2127633 ]
 [0.69914156 0.30085844]
 [0.8546287  0.1453713 ]
 [0.4014064  0.5985936 ]
 [0.4331349  0.5668651 ]
 [0.398789   0.601211  ]
 [0.7604284  0.23957157]
 [0.5194086  0.48059142]
 [0.78672767 0.2132723 ]
 [0.69778633 0.3022137 ]
 [0.49342662 0.5065734 ]
 [0.8718911  0.12810892]
 [0.45381594 0.54618406]
 [0.41177332 0.5882267 ]
 [0.5072048  0.4927952 ]
 [0.80442333 0.19557667]
 [0.37914795 0.62085205]
 [0.7789592  0.22104077]
 [0.42250454 0.57749546]
 [0.72489023 0.27510977]
 [0.47879428 0.5212057 ]
 [0.5035995  0.49640048]
 [0.8234905  0.17650948]
 [0.4890226  0.5109774 ]
 [0.82694954 0.17305046]
 [0.892606   0.10739398]
 [0.29893637 0.70106363]
 [0.8178134  0.18218663]
 [0.7401174  0.25988263]
 [0.69496655 0.30503345]]","              precision    recall  f1-score   support

           0       0.65      0.67      0.66        33
           1       0.50      0.48      0.49        23

   micro avg       0.59      0.59      0.59        56
   macro avg       0.57      0.57      0.57        56
weighted avg       0.59      0.59      0.59        56
","[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1]","[1 1 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1
 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0]"
7,0.797297297,0.642857143,"[[0.4421357  0.5578643 ]
 [0.6396738  0.3603262 ]
 [0.79397774 0.20602223]
 [0.7005415  0.29945847]
 [0.62690145 0.37309855]
 [0.7464881  0.2535119 ]
 [0.34694964 0.65305036]
 [0.48774987 0.5122501 ]
 [0.7713887  0.22861129]
 [0.7329168  0.26708323]
 [0.68242985 0.31757015]
 [0.45865083 0.5413492 ]
 [0.597839   0.40216097]
 [0.773146   0.22685403]
 [0.76191163 0.23808838]
 [0.7657757  0.23422429]
 [0.17183816 0.82816184]
 [0.81218725 0.18781276]
 [0.67096615 0.32903388]
 [0.5455899  0.45441008]
 [0.60760343 0.39239654]
 [0.40051812 0.5994819 ]
 [0.3020181  0.6979819 ]
 [0.43663055 0.56336945]
 [0.64834726 0.3516527 ]
 [0.6253456  0.3746544 ]
 [0.6392429  0.36075708]
 [0.722917   0.27708298]
 [0.47447503 0.525525  ]
 [0.521726   0.478274  ]
 [0.5802845  0.41971555]
 [0.42190093 0.5780991 ]
 [0.8652121  0.1347879 ]
 [0.74304324 0.25695676]
 [0.8218696  0.1781304 ]
 [0.37407857 0.6259214 ]
 [0.7412826  0.25871745]
 [0.3669284  0.6330716 ]
 [0.70202243 0.2979776 ]
 [0.79449236 0.20550762]
 [0.3787729  0.6212271 ]
 [0.75583905 0.24416094]
 [0.2045958  0.7954042 ]
 [0.42657554 0.57342446]
 [0.6715566  0.3284434 ]
 [0.42272907 0.5772709 ]
 [0.4011463  0.5988537 ]
 [0.83892107 0.16107894]
 [0.7526185  0.24738151]
 [0.65740055 0.34259945]
 [0.72572327 0.2742767 ]
 [0.26342338 0.7365766 ]
 [0.36917883 0.63082117]
 [0.83636916 0.16363087]
 [0.4928655  0.5071345 ]
 [0.7788905  0.22110951]]","              precision    recall  f1-score   support

           0       0.61      0.79      0.69        28
           1       0.70      0.50      0.58        28

   micro avg       0.64      0.64      0.64        56
   macro avg       0.66      0.64      0.64        56
weighted avg       0.66      0.64      0.64        56
","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0
 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0]"
8,0.842342342,0.696428571,"[[0.4742065  0.5257935 ]
 [0.7827694  0.21723062]
 [0.7161386  0.28386137]
 [0.5586355  0.44136453]
 [0.77806824 0.22193177]
 [0.74230385 0.25769612]
 [0.73252577 0.26747423]
 [0.81489813 0.1851019 ]
 [0.61236787 0.3876321 ]
 [0.90164083 0.09835917]
 [0.69735396 0.30264607]
 [0.3903727  0.6096273 ]
 [0.20852935 0.79147065]
 [0.6382653  0.3617347 ]
 [0.4927941  0.5072059 ]
 [0.84102523 0.15897478]
 [0.6166414  0.38335857]
 [0.2508173  0.7491827 ]
 [0.40487474 0.59512526]
 [0.67777157 0.32222843]
 [0.6452135  0.35478655]
 [0.7222179  0.27778208]
 [0.5265408  0.47345918]
 [0.6544069  0.34559312]
 [0.8937743  0.10622574]
 [0.77890617 0.22109383]
 [0.5125009  0.48749912]
 [0.686553   0.31344703]
 [0.7970962  0.2029038 ]
 [0.58227444 0.4177256 ]
 [0.8261847  0.17381531]
 [0.4078952  0.5921048 ]
 [0.65937304 0.34062696]
 [0.7463666  0.2536334 ]
 [0.76842666 0.23157336]
 [0.5552641  0.4447359 ]
 [0.34389162 0.6561084 ]
 [0.8177264  0.18227364]
 [0.40062404 0.59937596]
 [0.6712272  0.32877275]
 [0.81760347 0.1823965 ]
 [0.86414194 0.13585809]
 [0.72246104 0.27753896]
 [0.8269167  0.17308329]
 [0.58422565 0.41577432]
 [0.32929254 0.67070746]
 [0.5677223  0.43227765]
 [0.61441916 0.38558084]
 [0.45164013 0.5483599 ]
 [0.6336961  0.3663039 ]
 [0.60906255 0.39093748]
 [0.5998205  0.40017954]
 [0.6558722  0.3441278 ]
 [0.4919232  0.5080768 ]
 [0.8981718  0.10182823]
 [0.58483493 0.41516507]]","              precision    recall  f1-score   support

           0       0.73      0.86      0.79        37
           1       0.58      0.37      0.45        19

   micro avg       0.70      0.70      0.70        56
   macro avg       0.66      0.62      0.62        56
weighted avg       0.68      0.70      0.68        56
","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0]","[1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0]"
9,0.878378378,0.75,"[[0.8180341  0.1819659 ]
 [0.58977973 0.4102203 ]
 [0.36968595 0.63031405]
 [0.76505256 0.23494747]
 [0.3367744  0.6632256 ]
 [0.82506704 0.17493296]
 [0.568699   0.431301  ]
 [0.5684065  0.43159348]
 [0.52768826 0.47231174]
 [0.6080928  0.3919072 ]
 [0.65396464 0.34603533]
 [0.60989547 0.39010453]
 [0.76310277 0.23689726]
 [0.64126813 0.35873184]
 [0.586213   0.41378698]
 [0.29766417 0.70233583]
 [0.40071708 0.5992829 ]
 [0.60760605 0.39239398]
 [0.6852562  0.31474382]
 [0.38888782 0.6111122 ]
 [0.89256054 0.10743944]
 [0.6059092  0.39409077]
 [0.6660975  0.33390248]
 [0.79967797 0.20032206]
 [0.79064775 0.20935227]
 [0.8072754  0.19272457]
 [0.5196719  0.48032808]
 [0.6592823  0.34071767]
 [0.85603297 0.143967  ]
 [0.16660988 0.8333901 ]
 [0.8289587  0.17104132]
 [0.48117733 0.51882267]
 [0.35980904 0.64019096]
 [0.3832717  0.6167283 ]
 [0.6019548  0.39804518]
 [0.6533277  0.34667233]
 [0.57966995 0.42033002]
 [0.84236634 0.15763366]
 [0.41306138 0.5869386 ]
 [0.45318174 0.54681826]
 [0.4201128  0.5798872 ]
 [0.6135944  0.3864056 ]
 [0.61008745 0.38991255]
 [0.71609056 0.28390944]
 [0.46195292 0.5380471 ]
 [0.85273564 0.14726435]
 [0.45470756 0.54529244]
 [0.29882497 0.70117503]
 [0.8270106  0.17298944]
 [0.70367277 0.29632726]
 [0.8567982  0.1432018 ]
 [0.35715854 0.64284146]
 [0.41029978 0.5897002 ]
 [0.63599205 0.36400795]
 [0.68229014 0.31770986]
 [0.7811921  0.21880789]]","              precision    recall  f1-score   support

           0       0.87      0.79      0.83        43
           1       0.47      0.62      0.53        13

   micro avg       0.75      0.75      0.75        56
   macro avg       0.67      0.70      0.68        56
weighted avg       0.78      0.75      0.76        56
","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0
 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0]"
