,train accuracy,test accuracy,y score,class report,y test,y pred
0,0.981981982,0.517857143,"[[0.14176112 0.8582389 ]
 [0.9419223  0.05807769]
 [0.28258562 0.7174144 ]
 [0.72752315 0.27247685]
 [0.6680574  0.33194262]
 [0.45252007 0.5474799 ]
 [0.73437124 0.26562876]
 [0.8355833  0.16441667]
 [0.8654059  0.1345941 ]
 [0.24079704 0.75920296]
 [0.29623973 0.70376027]
 [0.6275184  0.3724816 ]
 [0.14493853 0.8550615 ]
 [0.7791158  0.22088419]
 [0.30515987 0.69484013]
 [0.8912233  0.10877672]
 [0.24220014 0.75779986]
 [0.78944474 0.21055526]
 [0.92156607 0.07843392]
 [0.40117055 0.59882945]
 [0.10167438 0.8983256 ]
 [0.6284712  0.3715288 ]
 [0.92209935 0.07790064]
 [0.8276552  0.17234479]
 [0.67972773 0.32027227]
 [0.83568966 0.16431035]
 [0.34142506 0.65857494]
 [0.7682682  0.2317318 ]
 [0.99198335 0.00801664]
 [0.10076821 0.8992318 ]
 [0.3267535  0.6732465 ]
 [0.64726603 0.352734  ]
 [0.06045544 0.93954456]
 [0.8226485  0.17735144]
 [0.30207878 0.6979212 ]
 [0.93110347 0.06889655]
 [0.9734365  0.02656353]
 [0.35085213 0.64914787]
 [0.76721025 0.23278978]
 [0.9800772  0.01992279]
 [0.96251047 0.03748956]
 [0.9231235  0.07687651]
 [0.62282795 0.37717205]
 [0.9708553  0.02914469]
 [0.60670483 0.39329514]
 [0.76751745 0.23248254]
 [0.64776856 0.35223144]
 [0.9235996  0.07640038]
 [0.8994864  0.10051356]
 [0.92415035 0.07584962]
 [0.57692456 0.42307544]
 [0.36456996 0.63543004]
 [0.34929353 0.65070647]
 [0.65549016 0.34450984]
 [0.83095443 0.16904558]
 [0.91089135 0.08910862]]","              precision    recall  f1-score   support

           0       0.53      0.69      0.60        29
           1       0.50      0.33      0.40        27

   micro avg       0.52      0.52      0.52        56
   macro avg       0.51      0.51      0.50        56
weighted avg       0.51      0.52      0.50        56
","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[1 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0]"
1,0.995495495,0.678571429,"[[0.86883473 0.13116527]
 [0.04618168 0.9538183 ]
 [0.5592903  0.44070968]
 [0.5871696  0.4128304 ]
 [0.3156417  0.6843583 ]
 [0.47769105 0.52230895]
 [0.913619   0.08638102]
 [0.3200482  0.6799518 ]
 [0.74872434 0.25127563]
 [0.14458    0.85542   ]
 [0.7951977  0.20480227]
 [0.08248615 0.91751385]
 [0.39002526 0.60997474]
 [0.7646791  0.23532094]
 [0.65944004 0.34055993]
 [0.699932   0.30006802]
 [0.47297662 0.5270234 ]
 [0.94472796 0.05527206]
 [0.4425149  0.5574851 ]
 [0.7148614  0.2851386 ]
 [0.57630634 0.4236937 ]
 [0.7177011  0.2822989 ]
 [0.77900946 0.22099051]
 [0.10129112 0.8987089 ]
 [0.5979225  0.4020775 ]
 [0.4044602  0.5955398 ]
 [0.96002287 0.03997711]
 [0.40214002 0.59786   ]
 [0.46631795 0.53368205]
 [0.3256606  0.6743394 ]
 [0.6102596  0.3897404 ]
 [0.2970124  0.7029876 ]
 [0.44692522 0.5530748 ]
 [0.4334212  0.5665788 ]
 [0.44014555 0.55985445]
 [0.6593515  0.34064847]
 [0.30968392 0.6903161 ]
 [0.19619036 0.80380964]
 [0.11104995 0.88895005]
 [0.4166745  0.5833255 ]
 [0.14103079 0.8589692 ]
 [0.93143284 0.06856715]
 [0.22482425 0.77517575]
 [0.96296364 0.03703639]
 [0.97294396 0.02705605]
 [0.14832067 0.8516793 ]
 [0.9698019  0.03019813]
 [0.3042546  0.6957454 ]
 [0.2594046  0.7405954 ]
 [0.20603746 0.79396254]
 [0.735409   0.264591  ]
 [0.5903673  0.4096327 ]
 [0.82976484 0.17023517]
 [0.73879683 0.26120317]
 [0.9678086  0.03219141]
 [0.9147792  0.08522084]]","              precision    recall  f1-score   support

           0       0.86      0.63      0.73        38
           1       0.50      0.78      0.61        18

   micro avg       0.68      0.68      0.68        56
   macro avg       0.68      0.70      0.67        56
weighted avg       0.74      0.68      0.69        56
","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]","[0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 0 1 1 1 1 0 1
 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
2,0.986486486,0.589285714,"[[0.6481813  0.35181865]
 [0.3197857  0.6802143 ]
 [0.9837456  0.01625443]
 [0.9018247  0.09817529]
 [0.71663785 0.28336218]
 [0.56140006 0.43859994]
 [0.42159402 0.578406  ]
 [0.97809476 0.02190526]
 [0.09581792 0.9041821 ]
 [0.8848592  0.11514083]
 [0.46350724 0.53649276]
 [0.97273344 0.02726654]
 [0.32175505 0.67824495]
 [0.43968773 0.5603123 ]
 [0.99524766 0.00475232]
 [0.08122498 0.918775  ]
 [0.3900472  0.6099528 ]
 [0.6406803  0.35931966]
 [0.33399302 0.666007  ]
 [0.878443   0.12155697]
 [0.98711866 0.01288137]
 [0.89770615 0.10229385]
 [0.51555806 0.48444194]
 [0.269395   0.730605  ]
 [0.28952014 0.71047986]
 [0.9755792  0.02442082]
 [0.9348293  0.06517071]
 [0.20218974 0.79781026]
 [0.85214096 0.14785905]
 [0.73506    0.26494   ]
 [0.25788224 0.74211776]
 [0.7946383  0.2053617 ]
 [0.7600451  0.23995489]
 [0.45102054 0.54897946]
 [0.7668307  0.2331693 ]
 [0.9810946  0.01890541]
 [0.4543708  0.5456292 ]
 [0.3340922  0.6659078 ]
 [0.40048355 0.59951645]
 [0.8568346  0.14316541]
 [0.8796211  0.12037892]
 [0.30645782 0.6935422 ]
 [0.75288135 0.24711864]
 [0.60232973 0.39767027]
 [0.5815911  0.4184089 ]
 [0.6885955  0.31140453]
 [0.26142842 0.7385716 ]
 [0.5624758  0.4375242 ]
 [0.14997965 0.85002035]
 [0.23017001 0.76983   ]
 [0.8639556  0.13604437]
 [0.12112594 0.87887406]
 [0.964039   0.035961  ]
 [0.13005257 0.86994743]
 [0.8373701  0.16262989]
 [0.84196854 0.15803146]]","              precision    recall  f1-score   support

           0       0.70      0.64      0.67        36
           1       0.43      0.50      0.47        20

   micro avg       0.59      0.59      0.59        56
   macro avg       0.57      0.57      0.57        56
weighted avg       0.60      0.59      0.59        56
","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[0 1 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1
 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0]"
3,0.981981982,0.678571429,"[[0.15813261 0.8418674 ]
 [0.4680333  0.5319667 ]
 [0.2043817  0.7956183 ]
 [0.5515798  0.44842023]
 [0.9576105  0.04238954]
 [0.76012516 0.23987482]
 [0.46342683 0.5365732 ]
 [0.38703477 0.6129652 ]
 [0.98582065 0.01417934]
 [0.41495883 0.58504117]
 [0.9579611  0.04203895]
 [0.54858327 0.4514167 ]
 [0.84725416 0.15274581]
 [0.89605266 0.10394736]
 [0.9750809  0.02491906]
 [0.12907976 0.87092024]
 [0.47940665 0.52059335]
 [0.51281965 0.48718032]
 [0.76799786 0.23200211]
 [0.62047863 0.37952137]
 [0.8022668  0.19773322]
 [0.3716058  0.6283942 ]
 [0.71100914 0.28899086]
 [0.42625898 0.573741  ]
 [0.20766819 0.7923318 ]
 [0.38190508 0.6180949 ]
 [0.59247863 0.4075214 ]
 [0.87578595 0.12421405]
 [0.38102776 0.61897224]
 [0.8275488  0.17245121]
 [0.26611167 0.7338883 ]
 [0.6437745  0.3562255 ]
 [0.6041932  0.39580682]
 [0.98483455 0.01516543]
 [0.84300363 0.1569964 ]
 [0.43716925 0.56283075]
 [0.7492413  0.2507587 ]
 [0.913886   0.08611401]
 [0.3887543  0.6112457 ]
 [0.30045313 0.6995469 ]
 [0.5708293  0.4291707 ]
 [0.8600661  0.1399339 ]
 [0.22525465 0.77474535]
 [0.7327379  0.26726207]
 [0.8744475  0.12555246]
 [0.90828645 0.09171356]
 [0.10613382 0.8938662 ]
 [0.9511881  0.04881189]
 [0.8609733  0.13902669]
 [0.98456806 0.01543195]
 [0.37596416 0.62403584]
 [0.6874207  0.31257924]
 [0.524554   0.47544602]
 [0.31820726 0.68179274]
 [0.68805456 0.31194544]
 [0.76823354 0.23176643]]","              precision    recall  f1-score   support

           0       0.77      0.73      0.75        37
           1       0.52      0.58      0.55        19

   micro avg       0.68      0.68      0.68        56
   macro avg       0.65      0.65      0.65        56
weighted avg       0.69      0.68      0.68        56
","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0
 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0]"
4,0.990990991,0.553571429,"[[0.14287359 0.8571264 ]
 [0.913947   0.08605298]
 [0.7161874  0.28381258]
 [0.76514447 0.23485555]
 [0.99190944 0.00809055]
 [0.9220335  0.0779665 ]
 [0.97008044 0.02991956]
 [0.888469   0.11153103]
 [0.83510935 0.16489063]
 [0.5904032  0.40959683]
 [0.8428658  0.15713415]
 [0.7434757  0.25652432]
 [0.7851646  0.21483538]
 [0.9318658  0.06813418]
 [0.84860265 0.15139733]
 [0.8120919  0.18790813]
 [0.9775927  0.02240732]
 [0.26035857 0.7396414 ]
 [0.9399534  0.06004663]
 [0.38167036 0.61832964]
 [0.6648451  0.33515492]
 [0.44071758 0.5592824 ]
 [0.8978995  0.10210047]
 [0.22096997 0.77903   ]
 [0.72779036 0.27220964]
 [0.70468247 0.2953175 ]
 [0.55999744 0.44000253]
 [0.18656576 0.81343424]
 [0.47214836 0.52785164]
 [0.14662832 0.8533717 ]
 [0.54608434 0.45391566]
 [0.35586548 0.6441345 ]
 [0.94093394 0.05906606]
 [0.97221786 0.02778217]
 [0.40953445 0.59046555]
 [0.08985656 0.91014344]
 [0.08770055 0.91229945]
 [0.72251034 0.27748963]
 [0.8055935  0.19440651]
 [0.5272269  0.4727731 ]
 [0.9028481  0.0971519 ]
 [0.85435736 0.14564262]
 [0.9458801  0.0541199 ]
 [0.31970626 0.68029374]
 [0.20918447 0.79081553]
 [0.2711953  0.7288047 ]
 [0.3997777  0.6002223 ]
 [0.9312444  0.0687556 ]
 [0.7859347  0.21406534]
 [0.29661143 0.7033886 ]
 [0.07337207 0.92662793]
 [0.2988562  0.7011438 ]
 [0.14539617 0.8546038 ]
 [0.15924937 0.84075063]
 [0.9125758  0.08742423]
 [0.93968314 0.06031687]]","              precision    recall  f1-score   support

           0       0.57      0.67      0.62        30
           1       0.52      0.42      0.47        26

   micro avg       0.55      0.55      0.55        56
   macro avg       0.55      0.54      0.54        56
weighted avg       0.55      0.55      0.55        56
","[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1
 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 0]"
5,0.981981982,0.553571429,"[[0.6737816  0.32621843]
 [0.9579406  0.04205942]
 [0.3982616  0.6017384 ]
 [0.8958494  0.10415057]
 [0.21995622 0.7800438 ]
 [0.2394194  0.7605806 ]
 [0.23089355 0.76910645]
 [0.8504195  0.14958051]
 [0.80365366 0.19634636]
 [0.13657433 0.8634257 ]
 [0.89191806 0.10808197]
 [0.02866513 0.9713349 ]
 [0.90838826 0.09161176]
 [0.9595794  0.0404206 ]
 [0.5097904  0.4902096 ]
 [0.5504054  0.44959465]
 [0.8495977  0.15040232]
 [0.61846656 0.38153344]
 [0.06293201 0.937068  ]
 [0.5250037  0.47499633]
 [0.0398404  0.9601596 ]
 [0.68160933 0.31839067]
 [0.6457827  0.35421726]
 [0.13113344 0.86886656]
 [0.9380483  0.06195169]
 [0.90677726 0.09322274]
 [0.81159526 0.18840475]
 [0.6899522  0.3100478 ]
 [0.83293027 0.16706973]
 [0.43221205 0.56778795]
 [0.3479585  0.6520415 ]
 [0.41274244 0.58725756]
 [0.78458136 0.21541862]
 [0.93733376 0.06266622]
 [0.81939274 0.18060724]
 [0.9821478  0.01785216]
 [0.93573934 0.06426066]
 [0.8488555  0.15114447]
 [0.9021406  0.0978594 ]
 [0.22066534 0.77933466]
 [0.9477507  0.05224928]
 [0.14586854 0.85413146]
 [0.80027676 0.19972324]
 [0.98375547 0.0162445 ]
 [0.30797434 0.69202566]
 [0.24464738 0.7553526 ]
 [0.09551007 0.90448993]
 [0.27838844 0.72161156]
 [0.3281657  0.6718343 ]
 [0.93203044 0.06796958]
 [0.16189456 0.83810544]
 [0.96242684 0.03757318]
 [0.41392696 0.58607304]
 [0.24286705 0.75713295]
 [0.9664805  0.03351952]
 [0.95466024 0.04533974]]","              precision    recall  f1-score   support

           0       0.71      0.62      0.66        39
           1       0.32      0.41      0.36        17

   micro avg       0.55      0.55      0.55        56
   macro avg       0.51      0.51      0.51        56
weighted avg       0.59      0.55      0.57        56
","[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0
 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0]"
6,0.981981982,0.75,"[[0.63678443 0.3632156 ]
 [0.3976195  0.6023805 ]
 [0.15278214 0.84721786]
 [0.42923498 0.570765  ]
 [0.96810305 0.03189698]
 [0.74552834 0.2544717 ]
 [0.6716211  0.32837892]
 [0.94933057 0.05066941]
 [0.11857897 0.881421  ]
 [0.7709393  0.22906072]
 [0.27554125 0.72445875]
 [0.7248651  0.27513492]
 [0.3157665  0.6842335 ]
 [0.9622376  0.03776241]
 [0.06455457 0.9354454 ]
 [0.6013992  0.39860085]
 [0.53681684 0.46318313]
 [0.78341174 0.21658829]
 [0.59107006 0.40892997]
 [0.7771485  0.2228515 ]
 [0.23570335 0.76429665]
 [0.9245148  0.07548523]
 [0.20056504 0.79943496]
 [0.2901917  0.7098083 ]
 [0.7006159  0.29938412]
 [0.71828765 0.28171235]
 [0.10046732 0.8995327 ]
 [0.2495166  0.7504834 ]
 [0.5471418  0.4528582 ]
 [0.96260744 0.03739257]
 [0.96033025 0.03966974]
 [0.865074   0.134926  ]
 [0.87873024 0.12126978]
 [0.97651505 0.02348497]
 [0.18155992 0.8184401 ]
 [0.2681197  0.7318803 ]
 [0.5874781  0.4125219 ]
 [0.5899973  0.4100027 ]
 [0.8984127  0.10158731]
 [0.83553416 0.16446584]
 [0.24819046 0.75180954]
 [0.41625428 0.5837457 ]
 [0.86708087 0.13291915]
 [0.17954707 0.8204529 ]
 [0.9328554  0.06714455]
 [0.5970143  0.4029857 ]
 [0.7952326  0.20476739]
 [0.48121834 0.51878166]
 [0.95841515 0.04158483]
 [0.57379293 0.4262071 ]
 [0.3334394  0.6665606 ]
 [0.560632   0.43936804]
 [0.9653559  0.03464414]
 [0.29961115 0.70038885]
 [0.6544943  0.3455057 ]
 [0.6556562  0.34434375]]","              precision    recall  f1-score   support

           0       0.81      0.81      0.81        36
           1       0.65      0.65      0.65        20

   micro avg       0.75      0.75      0.75        56
   macro avg       0.73      0.73      0.73        56
weighted avg       0.75      0.75      0.75        56
","[0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[0 1 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0]"
7,0.981981982,0.642857143,"[[0.9610162  0.03898382]
 [0.8333198  0.16668019]
 [0.80661625 0.19338374]
 [0.7000862  0.29991382]
 [0.1004355  0.8995645 ]
 [0.61186385 0.38813612]
 [0.9319012  0.06809875]
 [0.53379    0.46621   ]
 [0.8241153  0.17588475]
 [0.82299227 0.17700773]
 [0.5264506  0.47354943]
 [0.97690266 0.02309732]
 [0.32258803 0.677412  ]
 [0.24808085 0.75191915]
 [0.5358732  0.46412683]
 [0.82982457 0.17017543]
 [0.79078054 0.20921947]
 [0.5365212  0.46347877]
 [0.63252586 0.36747414]
 [0.71179825 0.28820175]
 [0.8247712  0.17522877]
 [0.8569164  0.1430836 ]
 [0.8739411  0.12605886]
 [0.7680874  0.23191263]
 [0.4907118  0.5092882 ]
 [0.18747467 0.81252533]
 [0.96242106 0.03757896]
 [0.9793313  0.02066871]
 [0.31036454 0.68963546]
 [0.42837733 0.57162267]
 [0.6823906  0.31760946]
 [0.54574233 0.45425767]
 [0.6528948  0.3471052 ]
 [0.9310506  0.06894941]
 [0.97574943 0.02425055]
 [0.90650433 0.09349567]
 [0.8207519  0.17924808]
 [0.76984894 0.23015103]
 [0.9558951  0.04410488]
 [0.71746504 0.28253496]
 [0.8282992  0.17170078]
 [0.4944132  0.5055868 ]
 [0.5922507  0.40774927]
 [0.85468185 0.14531815]
 [0.21901125 0.78098875]
 [0.40556973 0.59443027]
 [0.89652336 0.10347667]
 [0.8922202  0.10777978]
 [0.16755247 0.8324475 ]
 [0.80916345 0.19083652]
 [0.74582076 0.25417924]
 [0.8816925  0.11830748]
 [0.4445833  0.5554167 ]
 [0.1276102  0.8723898 ]
 [0.47097313 0.52902687]
 [0.33463097 0.66536903]]","              precision    recall  f1-score   support

           0       0.71      0.78      0.74        37
           1       0.47      0.37      0.41        19

   micro avg       0.64      0.64      0.64        56
   macro avg       0.59      0.58      0.58        56
weighted avg       0.63      0.64      0.63        56
","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 1]"
8,0.990990991,0.625,"[[0.33902073 0.6609793 ]
 [0.76346546 0.23653452]
 [0.1408273  0.8591727 ]
 [0.7177676  0.28223243]
 [0.9067082  0.0932918 ]
 [0.6357068  0.36429322]
 [0.71068394 0.2893161 ]
 [0.6267018  0.37329823]
 [0.543365   0.456635  ]
 [0.5083565  0.4916435 ]
 [0.8896613  0.11033871]
 [0.8572419  0.14275809]
 [0.5696966  0.4303034 ]
 [0.96131873 0.03868125]
 [0.9308571  0.06914288]
 [0.89125955 0.10874045]
 [0.87438154 0.12561846]
 [0.5432137  0.4567863 ]
 [0.75793916 0.24206083]
 [0.59187555 0.40812445]
 [0.29082274 0.70917726]
 [0.77466446 0.22533555]
 [0.97550714 0.02449284]
 [0.38544488 0.6145551 ]
 [0.538232   0.46176797]
 [0.78436553 0.21563448]
 [0.6144781  0.3855219 ]
 [0.6182093  0.3817907 ]
 [0.09658533 0.90341467]
 [0.66916364 0.33083636]
 [0.4205538  0.5794462 ]
 [0.5740881  0.42591187]
 [0.62769043 0.37230957]
 [0.9180075  0.08199248]
 [0.5339478  0.4660522 ]
 [0.17971498 0.820285  ]
 [0.06401658 0.9359834 ]
 [0.2941116  0.7058884 ]
 [0.46239775 0.53760225]
 [0.8067627  0.19323729]
 [0.7816086  0.2183914 ]
 [0.4240715  0.5759285 ]
 [0.09298968 0.9070103 ]
 [0.56277454 0.4372255 ]
 [0.2320975  0.7679025 ]
 [0.31811768 0.6818823 ]
 [0.59747595 0.40252405]
 [0.7217263  0.27827373]
 [0.5524591  0.44754088]
 [0.4951983  0.5048017 ]
 [0.58969116 0.41030884]
 [0.817295   0.18270499]
 [0.8604275  0.13957249]
 [0.8421056  0.15789434]
 [0.65235746 0.34764254]
 [0.83779764 0.16220233]]","              precision    recall  f1-score   support

           0       0.63      0.81      0.71        32
           1       0.60      0.38      0.46        24

   micro avg       0.62      0.62      0.62        56
   macro avg       0.62      0.59      0.59        56
weighted avg       0.62      0.62      0.60        56
","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1
 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0]"
9,0.986486486,0.571428571,"[[0.8890581  0.11094189]
 [0.9335997  0.06640032]
 [0.31730825 0.68269175]
 [0.97299767 0.02700232]
 [0.21905911 0.7809409 ]
 [0.4659044  0.5340956 ]
 [0.08085865 0.91914135]
 [0.2587884  0.7412116 ]
 [0.30324697 0.696753  ]
 [0.8869659  0.1130341 ]
 [0.34365672 0.6563433 ]
 [0.7240042  0.2759958 ]
 [0.6265759  0.3734241 ]
 [0.08962506 0.91037494]
 [0.26466638 0.7353336 ]
 [0.7358496  0.2641504 ]
 [0.5026518  0.4973482 ]
 [0.9785247  0.02147529]
 [0.79612184 0.20387816]
 [0.3443398  0.6556602 ]
 [0.851421   0.14857902]
 [0.93068516 0.06931483]
 [0.597023   0.40297702]
 [0.9703962  0.02960376]
 [0.52847844 0.47152156]
 [0.5639286  0.4360714 ]
 [0.62061703 0.37938297]
 [0.92019856 0.07980146]
 [0.0384174  0.9615826 ]
 [0.9404335  0.0595665 ]
 [0.47402042 0.5259796 ]
 [0.59699625 0.40300375]
 [0.4060315  0.5939685 ]
 [0.08913219 0.9108678 ]
 [0.24724287 0.75275713]
 [0.81744945 0.18255056]
 [0.22785318 0.7721468 ]
 [0.19648731 0.8035127 ]
 [0.8302623  0.16973771]
 [0.95825636 0.04174364]
 [0.6131518  0.3868482 ]
 [0.919103   0.08089697]
 [0.42002964 0.57997036]
 [0.27351356 0.72648644]
 [0.4510917  0.5489083 ]
 [0.13717318 0.8628268 ]
 [0.35425425 0.64574575]
 [0.31716383 0.6828362 ]
 [0.8344992  0.16550082]
 [0.23943305 0.76056695]
 [0.5755881  0.4244119 ]
 [0.7341175  0.26588252]
 [0.8392622  0.16073781]
 [0.81869847 0.18130153]
 [0.94645226 0.05354775]
 [0.9460497  0.0539503 ]]","              precision    recall  f1-score   support

           0       0.69      0.61      0.65        36
           1       0.42      0.50      0.45        20

   micro avg       0.57      0.57      0.57        56
   macro avg       0.55      0.56      0.55        56
weighted avg       0.59      0.57      0.58        56
","[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1
 1 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0]"
