,Cashew,Egg,Hazelnut,Milk,Nuts,Peanut,Sesame,Walnut
Cashew,0.0,0.2,0.0,1.3,0.0,2.3,0.4,0.0
Egg,0.0,0.5,0.0,1.3,0.1,1.6,1.6,0.5
Hazelnut,0.0,0.0,0.0,0.9,1.6,0.4,0.1,0.7
Milk,0.0,0.0,0.3,34.6,1.5,8.6,2.7,2.9
Nuts,0.1,0.0,0.0,5.4,5.5,1.2,0.0,1.3
Peanut,0.1,0.7,0.1,11.5,0.3,22.2,4.6,3.3
Sesame,0.2,0.3,0.0,7.8,0.0,10.1,5.6,0.7
Walnut,0.0,0.0,0.1,9.8,1.2,7.7,1.5,1.6
acc,0.4191616766467068,,,,,,,
